,City,Lat,Lng,Max Temp,Cloudiness,Windspeed,Date,Country,Humidity
386,Kīhei,20.79,-156.47,87.8,40,11.41,1604192749,US,48
387,Saldanha,-33.01,17.94,57.2,0,3.36,1604192791,ZA,62
388,Nyahururu,0.04,36.37,51.04,0,3.85,1604192791,KE,89
389,Cap Malheureux,-19.98,57.61,66.2,40,11.41,1604192791,MU,82
390,Münsingen,48.41,9.5,52.0,64,1.01,1604192792,DE,55
391,Mergen,49.18,125.22,30.78,100,13.82,1604192792,CN,95
392,Gal'bshtadt,53.23,78.98,33.55,54,8.52,1604192792,RU,92
393,Lavrentiya,65.58,-171.0,22.33,0,8.14,1604192792,RU,90
394,Bambanglipuro,-7.95,110.28,81.97,0,4.43,1604192732,ID,73
395,Kathu,7.92,98.33,84.0,40,3.36,1604192793,TH,88
396,Winslow,35.02,-110.7,69.8,1,3.36,1604192793,US,18
397,Jojoima,7.88,-10.79,72.63,0,1.86,1604192793,SL,94
398,Necochea,-38.55,-58.74,53.01,0,5.01,1604192793,AR,73
399,Petropavlovsk-Kamchatskiy,53.05,158.65,42.8,40,13.42,1604192561,RU,60
400,Sawākin,19.11,37.33,83.07,4,4.81,1604192793,SD,71
401,Yala,6.33,101.25,77.0,20,4.7,1604192794,TH,94
402,Ngunguru,-35.62,174.5,78.01,22,7.0,1604192794,NZ,56
403,Usinsk,65.99,57.53,31.95,100,18.66,1604192736,RU,98
404,Asău,46.43,26.4,46.4,82,21.92,1604192794,RO,87
405,Vanavara,60.34,102.28,-2.16,0,2.46,1604192795,RU,92
406,Bhadrāchalam,17.67,80.88,68.9,0,2.44,1604192795,IN,85
407,Kanchanaburi,14.63,99.1,77.13,93,5.73,1604192795,TH,84
408,Havelock,34.88,-76.9,57.0,1,6.93,1604192795,US,76
409,Takoradze,4.88,-1.76,78.17,25,4.52,1604192795,GH,87
410,Coahuayana Viejo,18.73,-103.68,77.0,40,11.41,1604192743,MX,83
411,Chimbote,-9.09,-78.58,61.68,99,5.93,1604192578,PE,88
412,Booué,-0.09,11.94,71.83,100,2.33,1604192796,GA,96
413,Paraíso,9.84,-83.87,68.0,75,4.7,1604192796,CR,88
414,Pochutla,15.74,-96.47,82.4,40,8.05,1604192797,MX,69
415,Lukovetskiy,64.3,41.92,26.6,75,2.24,1604192797,RU,92
416,Shakawe,-18.37,21.85,70.95,99,4.12,1604192797,BW,25
417,Ponferrada,42.55,-6.6,57.0,100,1.7,1604192797,ES,91
418,Shahr-e Bābak,30.12,55.12,41.67,0,2.04,1604192797,IR,61
419,San Miguel de Tucumán,-26.82,-65.22,69.8,0,5.82,1604192787,AR,32
420,Roebourne,-20.78,117.13,83.62,0,10.42,1604192918,AU,45
421,Towada,40.61,141.21,48.2,75,9.17,1604192918,JP,76
422,Druzhba,52.04,33.95,46.04,100,16.46,1604192918,UA,90
423,Belmonte,-15.86,-38.88,77.0,20,6.93,1604192918,BR,83
424,Yuci,37.68,112.73,42.8,0,2.24,1604192919,CN,56
425,Grindavik,63.84,-22.43,39.2,75,2.24,1604192919,IS,86
426,Oxbow,49.23,-102.17,26.01,0,13.0,1604192919,CA,73
427,Safi,32.3,-9.24,65.28,39,11.52,1604192919,MA,85
428,Maceió,-9.67,-35.74,75.2,40,5.82,1604192920,BR,94
429,Bandar-e Lengeh,26.56,54.88,69.8,0,6.93,1604192920,IR,94
430,Bowen,-20.02,148.23,89.6,0,6.93,1604192762,AU,38
431,Bela,25.93,81.98,68.11,15,5.48,1604192920,IN,32
432,Tallahassee,30.44,-84.28,71.6,1,5.82,1604192664,US,73
433,Nouadhibou,20.93,-17.03,68.0,40,11.41,1604192921,MR,82
434,Narsaq,60.92,-46.05,24.8,88,1.36,1604192921,GL,79
435,Farafangana,-22.82,47.83,66.31,76,4.0,1604192921,MG,76
436,Rundu,-17.93,19.77,70.61,6,1.7,1604192921,NA,30
437,San Jerónimo,-11.95,-75.28,50.95,100,4.74,1604192922,PE,72
438,Kavaratti,10.57,72.64,81.77,74,4.43,1604192758,IN,70
439,Manoel Urbano,-8.84,-69.26,68.7,100,2.37,1604192922,BR,97
440,Risør,58.72,9.23,54.0,100,13.0,1604192922,NO,98
441,Baruun-Urt,46.68,113.28,25.23,0,15.61,1604192752,MN,80
442,Barreirinha,-2.79,-57.07,82.51,35,1.72,1604192923,BR,49
443,Yanam,16.73,82.22,77.0,3,8.05,1604192923,IN,83
444,Lucapa,-8.42,20.74,64.08,0,1.19,1604192648,AO,94
445,Pīshvā,35.31,51.73,59.0,0,9.17,1604192923,IR,34
446,Hofn,64.25,-15.21,42.98,100,18.39,1604192924,IS,64
447,Krasnosel'kup,65.7,82.47,30.09,100,19.71,1604192924,RU,97
448,Dubuque,42.48,-90.87,57.99,90,13.87,1604192708,US,54
449,Kloulklubed,7.04,134.26,77.0,90,11.41,1604192745,PW,88
450,Coquimbo,-29.95,-71.34,53.6,8,6.93,1604192925,CL,87
451,Kargasok,59.06,80.86,32.83,100,11.9,1604192925,RU,95
452,Tingi,-11.3,35.03,62.74,93,4.68,1604192925,TZ,85
453,Seydi,39.48,62.91,45.45,0,4.92,1604192925,TM,51
454,Kathmandu,27.72,85.32,55.4,20,3.36,1604192925,NP,93
455,Sechura,-5.56,-80.82,65.5,48,14.0,1604192926,PE,79
456,Laas,46.62,10.7,41.0,5,5.82,1604192926,IT,40
457,Bourail,-21.57,165.48,84.9,0,8.77,1604192926,NC,45
458,Kirakira,-10.45,161.92,86.05,45,6.17,1604192926,SB,68
459,Preobrazheniye,42.9,133.91,55.09,45,9.19,1604192926,RU,77
460,Urdoma,61.75,48.54,29.1,0,4.0,1604192927,RU,98
461,Kwang Binh,17.48,106.6,75.87,97,5.77,1604192927,VN,88
462,Aktobe,50.28,57.21,37.4,0,7.54,1604192927,KZ,51
463,Pangai,-19.8,-174.35,77.0,90,18.34,1604192927,TO,78
464,Vila Velha,-20.33,-40.29,69.8,90,8.05,1604192928,BR,88
465,Kieta,-6.22,155.63,86.27,76,4.5,1604192928,PG,64
466,Fort-Shevchenko,44.51,50.26,57.2,19,12.57,1604192928,KZ,37
467,Myitkyina,25.38,97.4,70.34,100,2.77,1604192928,MM,96
468,Dalnerechensk,45.93,133.72,51.94,45,18.88,1604192928,RU,67
469,Fitjar,59.92,5.32,52.0,100,3.0,1604192929,NO,92
470,San Roque,36.21,-5.38,59.0,0,4.7,1604192929,ES,93
471,Kindu,-2.95,25.95,66.67,90,0.34,1604192929,CD,95
472,Qui Nhon,13.77,109.23,78.3,89,11.25,1604192929,VN,86
473,Wasilla,61.58,-149.44,21.2,1,1.74,1604192667,US,62
474,Laguna,38.42,-121.42,78.8,1,3.98,1604192739,US,22
475,Menongue,-14.66,17.69,65.03,93,4.12,1604192930,AO,77
476,Rawson,-43.3,-65.1,72.93,0,23.06,1604192930,AR,22
477,Kasongo-Lunda,-6.47,16.82,69.98,100,0.31,1604192930,CD,91
478,Fontem,5.47,9.88,65.79,96,2.08,1604192931,CM,91
479,Upington,-28.45,21.26,66.2,0,8.05,1604192931,ZA,77
480,Terney,45.05,136.61,49.62,98,3.29,1604193051,RU,74
481,Mumbwa,-14.98,27.06,69.01,0,9.42,1604193051,ZM,48
482,Ascension,30.22,-90.9,60.01,1,2.46,1604193052,US,87
483,Sivas Province,39.79,37.0,39.2,75,4.7,1604193052,TR,80
484,Jiuquan,39.74,98.52,37.83,99,1.95,1604193052,CN,61
485,Sernur,56.93,49.15,35.46,99,12.46,1604193052,RU,85
486,Lovozero,68.0,35.01,23.32,0,3.96,1604193053,RU,90
487,Biltine,14.53,20.92,80.91,99,7.18,1604193053,TD,22
488,Corral Nuevo,18.11,-95.12,75.2,90,6.93,1604193053,MX,88
489,‘Āhuimanu,21.44,-157.84,86.0,1,8.05,1604193053,US,62
490,Viranşehir,37.24,39.76,60.28,34,7.16,1604193054,TR,29
491,Huejúcar,22.35,-103.22,66.31,0,9.19,1604193054,MX,32
492,Roald,62.58,6.13,59.0,97,17.22,1604193054,NO,47
493,Ayagoz,47.97,80.44,27.52,0,5.68,1604193054,KZ,94
494,San Fernando del Valle de Catamarca,-28.47,-65.79,54.0,2,10.51,1604193055,AR,53
495,Mānsa,29.98,75.38,58.86,0,3.74,1604193055,IN,29
496,Ous,60.91,61.52,28.4,0,9.22,1604193055,RU,95
497,Makakilo City,21.35,-158.09,86.0,75,12.75,1604193055,US,58
498,Colares,38.8,-9.45,64.99,100,1.01,1604193055,PT,89
499,Samarai,-10.62,150.67,82.56,91,9.75,1604193024,PG,78
500,Bereket,39.24,55.52,57.97,0,6.46,1604193056,TM,32
501,Aykhal,66.0,111.5,-2.2,0,2.24,1604193056,RU,84
502,Quibor,9.93,-69.62,78.8,100,6.93,1604193056,VE,74
503,Ribas do Rio Pardo,-20.44,-53.76,71.44,21,8.5,1604193056,BR,73
504,Sinjār,36.32,41.88,60.3,0,9.15,1604192996,IQ,30
505,Manjacaze,-24.71,33.88,70.23,79,5.44,1604193057,MZ,82
506,Chengde,40.97,117.94,46.78,0,12.86,1604192861,CN,42
507,Złocieniec,53.53,16.01,46.0,57,1.01,1604193057,PL,95
508,Thanatpin,17.21,96.3,80.6,40,3.36,1604193058,MM,94
509,Chernyshevskiy,63.01,112.47,-1.93,0,2.04,1604193058,RU,92
510,Xining,36.62,101.77,35.22,100,1.41,1604193058,CN,76
511,Warrnambool,-38.38,142.48,57.99,38,5.91,1604193058,AU,79
512,Singaparna,-7.35,108.11,79.61,6,1.43,1604193058,ID,73
513,Luanda,-8.84,13.23,77.0,75,5.82,1604193059,AO,88
514,Aasiaat,68.71,-52.87,18.81,100,8.81,1604193059,GL,97
515,Avera,33.19,-82.53,60.8,90,8.05,1604193059,US,72
516,Kochki,54.34,80.48,32.4,39,11.72,1604193059,RU,97
517,Pinawa,50.15,-95.88,24.3,100,19.66,1604193059,CA,96
518,Batagay,67.63,134.63,-10.89,86,3.65,1604193060,RU,88
519,Bandiagara,14.35,-3.61,73.4,0,4.7,1604193060,ML,83
520,Makkah al Mukarramah,21.43,39.83,74.3,0,1.12,1604192767,SA,64
521,Mangai,-4.05,19.53,69.55,45,0.76,1604192984,CD,98
522,Ixtapa,20.7,-105.2,84.2,90,8.05,1604193061,MX,79
523,Almeirim,-1.52,-52.58,84.0,0,6.29,1604193061,BR,51
524,Srīvardhan,18.03,73.02,76.57,1,4.29,1604193061,IN,63
525,Ceres,37.59,-120.96,78.8,1,4.7,1604193061,US,22
526,Verkhnyaya Toyma,62.23,45.0,30.29,0,2.3,1604193062,RU,96
527,Mayo,38.89,-76.51,48.2,90,6.93,1604193062,US,66
529,Baharly,38.44,57.43,61.45,0,4.72,1604192961,TM,29
530,Labuhan,-6.88,112.21,76.68,90,4.16,1604193063,ID,88
531,Bétaré Oya,5.6,14.08,66.94,77,1.39,1604193063,CM,90
532,Marawi,8.0,124.29,82.0,100,4.0,1604193063,PH,77
533,Imbituba,-28.24,-48.67,64.4,40,5.82,1604193063,BR,77
534,Barashevo,54.53,42.88,40.46,69,9.08,1604193064,RU,90
535,Erdemli,36.6,34.31,66.06,0,3.38,1604192947,TR,62
536,Manzanillo,20.34,-77.12,78.49,56,11.36,1604193064,CU,87
537,Kumul,42.8,93.45,36.81,0,8.81,1604193064,CN,67
538,Cascais,38.7,-9.42,64.99,100,1.72,1604192860,PT,89
539,Santa Cruz,30.42,-9.6,62.6,0,4.7,1604193064,MA,45
540,São Francisco de Assis,-29.55,-55.13,60.04,0,12.71,1604193185,BR,74
541,Barreiras,-12.15,-44.99,72.28,95,1.72,1604193185,BR,89
543,Zhuhai,22.28,113.57,77.0,40,5.82,1604193082,CN,73
544,Kota Belud,6.35,116.43,82.4,20,4.7,1604193185,MY,78
545,Kudahuvadhoo,2.67,72.89,82.18,97,4.63,1604193085,MV,74
